,日期,门店,单量,天气状况,风力风向(夜间/白天),最高温度,最低温度,风力,天气,温度,date,星期,是否节假日,是否周末,是否雨天,是否晴天,是否雪天,是否阴天,是否多云,门店标识
28,20230829,64b5044e406bb091e6fb23c7,394,中雨  /多云,北风 1-3级  /北风 1-3级,26.0,31.0,2.0,24,28.5,2023-08-29,1,0,0,1,0,0,0,1,8
29,20230830,64b5044e406bb091e6fb23c7,346,多云  /多云,北风 1-3级  /北风 1-3级,26.0,34.0,2.0,12,30.0,2023-08-30,2,0,0,0,0,0,0,1,8
30,20230831,64b5044e406bb091e6fb23c7,410,多云  /大雨,北风 1-3级  /北风 3-4级,26.0,33.0,2.75,25,29.5,2023-08-31,3,0,0,1,0,0,0,1,8
31,20230901,64b5044e406bb091e6fb23c7,401,中雨  /大暴雨,北风 5-6级  /北风 9-10级,25.0,29.0,7.5,27,27.0,2023-09-01,4,0,0,1,0,0,0,0,8
32,20230902,64b5044e406bb091e6fb23c7,262,大雨  /中雨,东风 5-6级  /北风 1-3级,23.0,27.0,3.75,25,25.0,2023-09-02,5,1,1,1,0,0,0,0,8
33,20230903,64b5044e406bb091e6fb23c7,289,多云  /多云,北风 1-3级  /北风 1-3级,25.0,31.0,2.0,12,28.0,2023-09-03,6,1,1,0,0,0,0,1,8
34,20230904,64b5044e406bb091e6fb23c7,302,小雨  /小雨,北风 1-3级  /北风 1-3级,26.0,33.0,2.0,21,29.5,2023-09-04,0,0,0,1,0,0,0,0,8
35,20230905,64b5044e406bb091e6fb23c7,259,雷阵雨  /雷阵雨,北风 1-3级  /北风 1-3级,25.0,31.0,2.0,22,28.0,2023-09-05,1,0,0,1,0,0,0,0,8
36,20230906,64b5044e406bb091e6fb23c7,312,阴  /阴,北风 1-3级  /北风 1-3级,25.0,29.0,2.0,13,27.0,2023-09-06,2,0,0,0,0,0,1,0,8
37,20230907,64b5044e406bb091e6fb23c7,287,雷阵雨  /阵雨,北风 1-3级  /北风 1-3级,26.0,30.0,2.0,23,28.0,2023-09-07,3,0,0,1,0,0,0,0,8
38,20230908,64b5044e406bb091e6fb23c7,368,暴雨  /大雨,东风 1-3级  /东风 1-3级,24.0,28.0,2.0,26,26.0,2023-09-08,4,0,0,1,0,0,0,0,8
39,20230909,64b5044e406bb091e6fb23c7,360,暴雨  /大雨,北风 1-3级  /北风 1-3级,24.0,27.0,2.0,26,25.5,2023-09-09,5,1,1,1,0,0,0,0,8
40,20230910,64b5044e406bb091e6fb23c7,369,阵雨  /阵雨,东南风 1-3级  /东南风 1-3级,24.0,28.0,2.0,23,26.0,2023-09-10,6,1,1,1,0,0,0,0,8
41,20230911,64b5044e406bb091e6fb23c7,277,阵雨  /阵雨,北风 1-3级  /北风 1-3级,25.0,29.0,2.0,23,27.0,2023-09-11,0,0,0,1,0,0,0,0,8
42,20230913,64b5044e406bb091e6fb23c7,68,多云  /多云,北风 1-3级  /北风 1-3级,26.0,32.0,2.0,12,29.0,2023-09-13,2,0,0,0,0,0,0,1,8
